filename,num_taxa,msa_length,median_seq_length
10227_NT_AL_AA.fasta.zip,183,462,449
102288414_NT_AL_AA.fasta.zip,150,132,123.0
10228_NT_AL_AA.fasta.zip,187,258,255
10229_NT_AL_AA.fasta.zip,188,226,217.0
1022_NT_AL_AA.fasta.zip,186,346,346.0
10231_NT_AL_AA.fasta.zip,187,265,243
10233_NT_AL_AA.fasta.zip,187,344,328
10234_NT_AL_AA.fasta.zip,185,449,441
10235_NT_AL_AA.fasta.zip,186,618,606.0
10236_NT_AL_AA.fasta.zip,187,640,634
10237_NT_AL_AA.fasta.zip,189,370,358
10238_NT_AL_AA.fasta.zip,186,342,342.0
10240_NT_AL_AA.fasta.zip,181,403,382
10241_NT_AL_AA.fasta.zip,183,553,443
10242_NT_AL_AA.fasta.zip,187,235,235
10243_NT_AL_AA.fasta.zip,181,807,790
10244_NT_AL_AA.fasta.zip,188,377,370.0
10245_NT_AL_AA.fasta.zip,184,178,172.0
10246_NT_AL_AA.fasta.zip,148,482,476.0
10247_NT_AL_AA.fasta.zip,179,137,137
10248_NT_AL_AA.fasta.zip,183,143,140
1024_NT_AL_AA.fasta.zip,180,469,463.0
10250_NT_AL_AA.fasta.zip,182,939,918.0
10251_NT_AL_AA.fasta.zip,173,292,288
10252_NT_AL_AA.fasta.zip,163,331,319
10253_NT_AL_AA.fasta.zip,182,324,315.0
10254_NT_AL_AA.fasta.zip,188,545,525.0
10256_NT_AL_AA.fasta.zip,190,741,689.0
10257_NT_AL_AA.fasta.zip,177,1335,1323
1025_NT_AL_AA.fasta.zip,188,376,371.0
10260_NT_AL_AA.fasta.zip,187,1967,1909
10261_NT_AL_AA.fasta.zip,184,254,230.5
10262_NT_AL_AA.fasta.zip,183,424,424
10263_NT_AL_AA.fasta.zip,186,134,127.0
10265_NT_AL_AA.fasta.zip,184,508,483.0
10266_NT_AL_AA.fasta.zip,183,209,171
10267_NT_AL_AA.fasta.zip,177,138,137
10268_NT_AL_AA.fasta.zip,156,139,135.0
10269_NT_AL_AA.fasta.zip,189,482,475
1026_NT_AL_AA.fasta.zip,188,174,162.0
10270_NT_AL_AA.fasta.zip,182,819,672.5
102723796_NT_AL_AA.fasta.zip,124,446,399.5
102723899_NT_AL_AA.fasta.zip,73,131,119
102724231_NT_AL_AA.fasta.zip,57,167,150
10272_NT_AL_AA.fasta.zip,175,287,257
10273_NT_AL_AA.fasta.zip,184,309,302.0
10274_NT_AL_AA.fasta.zip,182,1262,1258.0
10276_NT_AL_AA.fasta.zip,187,607,593
10277_NT_AL_AA.fasta.zip,185,1442,1348
10278_NT_AL_AA.fasta.zip,183,579,560
10279_NT_AL_AA.fasta.zip,175,504,496
1027_NT_AL_AA.fasta.zip,185,209,198
10280_NT_AL_AA.fasta.zip,187,223,223
10282_NT_AL_AA.fasta.zip,180,120,118.0
10283_NT_AL_AA.fasta.zip,184,480,471.0
10284_NT_AL_AA.fasta.zip,183,176,172
10285_NT_AL_AA.fasta.zip,173,239,238
10286_NT_AL_AA.fasta.zip,186,225,225.0
10287_NT_AL_AA.fasta.zip,185,223,208
10289_NT_AL_AA.fasta.zip,168,113,113.0
1028_NT_AL_AA.fasta.zip,153,276,236
10290_NT_AL_AA.fasta.zip,177,3392,3240
10291_NT_AL_AA.fasta.zip,187,795,793
10293_NT_AL_AA.fasta.zip,190,488,468.0
10294_NT_AL_AA.fasta.zip,173,412,412
10295_NT_AL_AA.fasta.zip,187,414,412
10296_NT_AL_AA.fasta.zip,187,455,396
10297_NT_AL_AA.fasta.zip,178,2482,2230.0
10298_NT_AL_AA.fasta.zip,187,632,591
10299_NT_AL_AA.fasta.zip,179,968,904
102_NT_AL_AA.fasta.zip,183,754,747
10300_NT_AL_AA.fasta.zip,187,685,652
10302_NT_AL_AA.fasta.zip,187,101,97
10307_NT_AL_AA.fasta.zip,183,503,483
10309_NT_AL_AA.fasta.zip,184,370,350.0
10311_NT_AL_AA.fasta.zip,184,300,297.0
10312_NT_AL_AA.fasta.zip,181,868,822
10313_NT_AL_AA.fasta.zip,183,1087,942
10314_NT_AL_AA.fasta.zip,187,399,399
10316_NT_AL_AA.fasta.zip,182,439,406.0
10317_NT_AL_AA.fasta.zip,174,314,311.0
10318_NT_AL_AA.fasta.zip,185,664,628
10319_NT_AL_AA.fasta.zip,175,1595,1540
1031_NT_AL_AA.fasta.zip,178,171,168.0
10320_NT_AL_AA.fasta.zip,181,550,535
10322_NT_AL_AA.fasta.zip,187,422,414
10324_NT_AL_AA.fasta.zip,167,606,606
10325_NT_AL_AA.fasta.zip,149,377,374
10327_NT_AL_AA.fasta.zip,180,325,325.0
10328_NT_AL_AA.fasta.zip,185,213,210
10329_NT_AL_AA.fasta.zip,184,461,443.0
1032_NT_AL_AA.fasta.zip,187,168,165
10330_NT_AL_AA.fasta.zip,182,183,182.0
10331_NT_AL_AA.fasta.zip,171,384,358
10335_NT_AL_AA.fasta.zip,189,918,887
10336_NT_AL_AA.fasta.zip,184,247,242.0
1033_NT_AL_AA.fasta.zip,186,211,209.0
10342_NT_AL_AA.fasta.zip,189,413,400
10343_NT_AL_AA.fasta.zip,139,2108,1963
10344_NT_AL_AA.fasta.zip,145,97,93
10345_NT_AL_AA.fasta.zip,140,333,301.0
10347_NT_AL_AA.fasta.zip,171,2364,2037
10350_NT_AL_AA.fasta.zip,126,2008,1623.0
10352_NT_AL_AA.fasta.zip,189,363,359
10360_NT_AL_AA.fasta.zip,188,191,176.0
10361_NT_AL_AA.fasta.zip,178,248,181.5
10362_NT_AL_AA.fasta.zip,182,345,309.0
10363_NT_AL_AA.fasta.zip,187,350,347
10365_NT_AL_AA.fasta.zip,161,391,353
10367_NT_AL_AA.fasta.zip,184,488,479.0
10368_NT_AL_AA.fasta.zip,178,318,315.0
10369_NT_AL_AA.fasta.zip,181,324,323
1036_NT_AL_AA.fasta.zip,187,199,199
10370_NT_AL_AA.fasta.zip,187,302,268
10371_NT_AL_AA.fasta.zip,180,775,772.0
10379_NT_AL_AA.fasta.zip,188,459,389.0
10380_NT_AL_AA.fasta.zip,179,323,323
10381_NT_AL_AA.fasta.zip,92,450,450.0
10382_NT_AL_AA.fasta.zip,184,448,442.0
10383_NT_AL_AA.fasta.zip,161,456,445
10388_NT_AL_AA.fasta.zip,182,1580,1445.0
10389_NT_AL_AA.fasta.zip,170,754,669.0
10390_NT_AL_AA.fasta.zip,162,416,416.0
10391_NT_AL_AA.fasta.zip,189,479,475
10392_NT_AL_AA.fasta.zip,188,962,950.0
10393_NT_AL_AA.fasta.zip,187,188,185
10395_NT_AL_AA.fasta.zip,169,1571,1521
10396_NT_AL_AA.fasta.zip,188,1158,1158.0
10397_NT_AL_AA.fasta.zip,188,404,384.0
10398_NT_AL_AA.fasta.zip,186,172,172.0
10399_NT_AL_AA.fasta.zip,180,321,317.0
1039_NT_AL_AA.fasta.zip,169,461,454
103_NT_AL_AA.fasta.zip,188,1381,1130.0
10400_NT_AL_AA.fasta.zip,182,216,212.0
10401_NT_AL_AA.fasta.zip,185,649,627
10402_NT_AL_AA.fasta.zip,190,337,330.0
10403_NT_AL_AA.fasta.zip,184,655,642.0
10404_NT_AL_AA.fasta.zip,185,478,471
10406_NT_AL_AA.fasta.zip,179,137,117
10409_NT_AL_AA.fasta.zip,166,275,222.0
1040_NT_AL_AA.fasta.zip,181,469,461
10411_NT_AL_AA.fasta.zip,180,947,916.0
10412_NT_AL_AA.fasta.zip,173,261,260
10413_NT_AL_AA.fasta.zip,181,473,459
10417_NT_AL_AA.fasta.zip,159,336,322
10418_NT_AL_AA.fasta.zip,185,810,807
10419_NT_AL_AA.fasta.zip,189,639,637
1041_NT_AL_AA.fasta.zip,186,1021,498.0
10420_NT_AL_AA.fasta.zip,185,591,569
10421_NT_AL_AA.fasta.zip,188,359,341.0
10422_NT_AL_AA.fasta.zip,183,418,398
10423_NT_AL_AA.fasta.zip,189,218,213
10424_NT_AL_AA.fasta.zip,172,229,223.0
10425_NT_AL_AA.fasta.zip,185,496,491
10426_NT_AL_AA.fasta.zip,178,923,907.0
10427_NT_AL_AA.fasta.zip,179,1282,1207
10428_NT_AL_AA.fasta.zip,178,317,298.5
10430_NT_AL_AA.fasta.zip,190,229,224.0
10434_NT_AL_AA.fasta.zip,179,232,230
10435_NT_AL_AA.fasta.zip,186,253,208.0
10436_NT_AL_AA.fasta.zip,187,256,244
10437_NT_AL_AA.fasta.zip,179,259,234
10438_NT_AL_AA.fasta.zip,186,142,141.0
10439_NT_AL_AA.fasta.zip,180,488,485.0
1043_NT_AL_AA.fasta.zip,25,94,60
10440_NT_AL_AA.fasta.zip,171,179,171
10443_NT_AL_AA.fasta.zip,152,1265,1154.0
10444_NT_AL_AA.fasta.zip,188,769,765.0
10445_NT_AL_AA.fasta.zip,189,463,459
10446_NT_AL_AA.fasta.zip,188,725,712.0
10447_NT_AL_AA.fasta.zip,188,228,227.0
10449_NT_AL_AA.fasta.zip,187,398,396
1044_NT_AL_AA.fasta.zip,182,305,265.0
10450_NT_AL_AA.fasta.zip,175,305,301
10451_NT_AL_AA.fasta.zip,177,851,847
10452_NT_AL_AA.fasta.zip,184,372,361.0
10454_NT_AL_AA.fasta.zip,184,513,501.0
10456_NT_AL_AA.fasta.zip,186,300,277.0
10457_NT_AL_AA.fasta.zip,188,589,551.0
10458_NT_AL_AA.fasta.zip,181,551,533
10459_NT_AL_AA.fasta.zip,188,214,209.0
1045_NT_AL_AA.fasta.zip,183,335,309
10460_NT_AL_AA.fasta.zip,176,1110,693.5
10461_NT_AL_AA.fasta.zip,185,997,970
10463_NT_AL_AA.fasta.zip,183,574,565
10464_NT_AL_AA.fasta.zip,188,757,748.0
10465_NT_AL_AA.fasta.zip,187,178,177
10466_NT_AL_AA.fasta.zip,179,833,829
10467_NT_AL_AA.fasta.zip,188,161,154.0
10468_NT_AL_AA.fasta.zip,172,344,344.0
10469_NT_AL_AA.fasta.zip,188,461,451.0
1046_NT_AL_AA.fasta.zip,138,293,284.0
10471_NT_AL_AA.fasta.zip,189,131,129
10472_NT_AL_AA.fasta.zip,140,532,530.0
10474_NT_AL_AA.fasta.zip,187,436,432
10475_NT_AL_AA.fasta.zip,141,479,456
10477_NT_AL_AA.fasta.zip,186,207,205.0
10478_NT_AL_AA.fasta.zip,187,306,304
10479_NT_AL_AA.fasta.zip,181,712,697
1047_NT_AL_AA.fasta.zip,187,636,610
10480_NT_AL_AA.fasta.zip,186,374,374.0
10481_NT_AL_AA.fasta.zip,189,304,283
10482_NT_AL_AA.fasta.zip,189,640,618
