gene,raxml_alpha
201294,0.478959
100505753,1.769272
153579,0.934799
7776,0.418684
7984,0.75437
55778,1.418659
55236,0.431809
6565,0.60014
3855,0.755869
23063,0.275514
2492,0.553329
388591,0.725664
23657,0.367259
476,0.125114
10446,0.403699
152206,0.766606
1374,0.384399
2690,0.70281
3954,0.378751
9726,0.73467
63891,0.3288
221496,0.341094
133396,1.123659
4613,0.348571
56899,0.22092
9108,0.331872
4983,0.322627
79600,0.893063
2802,0.591172
57722,0.460893
55252,0.580206
23048,0.317732
3560,0.931865
4891,0.303832
340527,0.773097
285313,1.01792
51,0.442032
22950,0.462556
114548,0.552605
745,0.335154
23259,0.333772
134548,0.540676
56884,0.389313
150468,1.207051
158248,1.126682
7097,0.727058
2200,0.225445
5331,0.289738
976,0.75391
26290,1.28867
8893,0.428331
64689,0.464768
734,0.487155
8086,0.406325
3270,1.575145
9937,0.857249
162540,0.905124
80070,0.619033
55061,0.582942
8233,0.521163
9361,0.230501
23036,0.479532
3257,0.690379
27136,0.826208
219287,0.700716
1047,0.557982
6536,0.210009
22902,0.226889
83860,0.436012
153769,0.653594
10039,0.854826
868,0.258584
27244,0.23701
10451,0.230263
1911,0.329707
29110,0.272482
8939,0.299132
152185,0.84814
2201,0.21303
132158,0.499919
57576,0.471679
23607,0.584363
129563,0.483754
222545,1.165932
2145,0.177102
3985,0.265965
51479,0.277302
79934,0.415154
221395,0.727302
84000,0.548805
7916,0.434488
57822,0.341058
375337,1.139819
256949,0.665525
990,0.557167
55706,0.580946
8499,0.150669
203522,0.248009
256076,0.890518
8554,0.164088
113,0.379562
11196,0.462984
22,0.281355
1762,0.274311
57511,0.307941
1302,0.310767
10133,0.60013
5581,0.141423
23268,0.523591
3791,0.425153
64781,0.545181
84766,0.612606
54737,0.55241
51284,0.52912
23396,0.230166
6311,0.286976
79741,1.395296
9786,0.997124
23200,0.284347
1961,0.536267
114800,0.297513
339977,1.894772
773,0.216668
116840,0.768077
128876,0.690457
83637,0.457199
4059,0.856303
343641,0.645837
7559,0.288625
8505,0.503797
55765,0.646936
9744,0.345215
9767,0.632184
9138,0.449852
164312,1.015929
84519,0.775744
23007,0.425271
221400,0.933584
64901,0.404088
1285,0.57854
2720,0.527007
26173,0.346633
84273,0.700496
22974,0.651397
90678,0.487497
29015,0.693255
23189,0.507922
60495,0.234075
11107,0.305829
142685,0.585785
10403,0.651387
57683,2.812693
203054,0.510114
2521,0.218154
55288,0.170741
2321,0.570193
91775,0.440747
54790,1.112157
2058,0.342981
6530,0.229864
83642,0.506489
84623,0.235027
115948,1.044255
64857,0.637546
57187,0.27555
3673,0.58013
26289,0.36852
114803,0.494626
339287,0.244451
9710,0.325729
6305,0.294821
203111,3.09442
26999,0.02014
8140,0.275693
55100,0.225603
200844,0.624036
56848,0.466977
5357,0.260283
23082,0.634019
113026,0.474004
8565,0.296064
201627,0.269811
93627,0.269861
80232,0.146261
64147,0.517205
768,0.801898
11284,0.565425
148137,1.230775
2332,0.218696
9508,0.344823
51426,0.63317
1062,0.989215
259173,0.756283
9026,0.396866
2263,0.225491
23043,0.136064
54517,0.300046
4753,0.343851
353238,0.901732
2906,0.204227
165530,1.385636
10594,0.020138
1660,0.219354
8241,0.217277
10019,0.549138
203523,0.454146
4775,0.44837
3607,0.344512
84203,2.237518
254394,0.508509
57134,0.393722
140685,0.395569
8516,0.467035
23190,0.351883
388963,1.158417
23002,0.188453
26750,0.485782
253461,0.45143
6512,0.27052
83856,0.308239
2822,0.607206
114826,0.824944
238,0.357284
51773,0.40683
7535,0.265627
131831,0.847578
221178,0.538452
1834,1.517632
65018,0.518504
26586,1.129038
85358,0.244593
10165,0.306409
392617,0.563467
23767,0.291537
9865,0.385413
833,0.463998
27245,0.32018
10401,0.296485
91662,0.856588
220,0.363719
23481,0.35989
284353,0.492983
7520,0.624805
146845,0.464937
54103,0.935708
1262,0.348278
11174,0.300439
23516,0.327508
127255,1.092343
3371,0.546072
221002,0.430288
6429,0.278855
92558,0.299861
11218,0.476122
51222,0.433365
9414,0.395441
5422,0.457599
116987,0.230497
9667,0.62506
6608,0.190179
3067,0.446786
10290,0.366312
8029,0.805962
171023,0.612243
7094,0.153933
7018,0.746065
119,0.292256
3614,0.166096
80024,0.535863
165904,0.885773
5528,0.124722
23193,0.404106
6929,0.625495
1299,0.455653
9328,0.422145
26504,0.364134
84910,0.434367
55589,0.453038
1015,0.727298
3164,0.389392
7733,0.528651
5288,0.724165
84140,1.101113
9759,0.28873
178,0.34465
6342,0.38177
57091,1.014764
64761,0.662824
4643,0.200215
1303,0.352722
5297,0.223921
11311,0.238269
91749,0.736477
64225,0.230783
55789,0.443555
25923,0.351326
9479,0.259286
79623,0.426949
80342,0.847518
157777,0.683649
50,0.197413
140690,0.863879
25885,0.387177
1297,0.432964
63923,0.702468
3091,0.295224
3738,0.149786
10946,0.117687
11328,0.330375
5190,0.528221
64788,0.50112
29888,0.324969
9719,0.386976
55152,0.720191
8945,0.020132
2902,0.121188
54922,0.335644
115399,0.965741
6670,0.238394
22994,0.845708
6674,0.71159
57556,0.284677
10902,0.259644
57587,0.841257
3741,0.337764
191,0.273002
26256,1.05508
8309,0.700456
83660,0.12813
100271715,0.315932
2157,0.812394
91010,0.169981
348180,0.607641
2191,0.404103
79642,0.264482
26505,0.524476
25999,0.220636
94120,0.704146
2009,0.286476
79956,0.462568
11215,0.830829
686,0.615636
217,0.312804
6405,0.22087
57662,0.328853
342346,1.286017
8467,0.098962
84128,0.522004
79664,0.590818
57492,0.344866
81533,0.33141
6792,0.256442
22995,0.880873
55607,0.45026
23051,0.504606
55857,1.450411
151050,0.846457
139189,0.73956
463,0.240012
6540,0.354058
252983,0.783586
23432,0.387345
27443,0.668279
3683,0.706159
55779,0.648735
7175,0.292929
23060,0.314167
22936,0.373648
54464,0.378812
57696,0.395478
5327,0.660773
9441,0.51932
11052,0.020137
6542,0.361646
5921,0.172753
6506,0.211618
10522,0.367166
223075,1.441303
1499,0.020123
338440,0.678884
1894,0.356275
7038,0.89258
22806,0.358855
7148,0.777139
158358,0.678218
23646,0.495562
3603,0.711596
6853,0.240601
8085,0.382536
3382,0.308529
148789,0.407894
57787,0.202214
26010,0.398698
255877,0.370979
5289,0.171832
84958,0.564869
3742,0.223746
9871,0.490737
25981,0.374533
56301,0.312413
85462,0.716677
79143,0.417024
1950,1.022538
29761,0.321194
6916,0.698561
2326,0.800199
6389,0.238589
3801,0.371898
51780,0.273697
23205,0.574022
64170,0.562935
51755,0.328339
25790,0.787646
50853,1.050312
3619,0.698709
3550,0.073098
114880,0.176338
80059,0.22831
8208,0.383923
5859,0.351839
8496,0.345209
23250,0.312951
23122,0.222858
54877,0.589959
440503,0.763451
5922,0.378483
283652,0.561245
219595,0.5182
80381,0.692962
64410,0.283111
7030,0.305132
80790,0.091866
164592,1.233587
57685,0.180194
5791,0.257626
5933,0.442676
7716,0.128835
53335,0.117142
114783,0.352802
118461,0.931112
79659,0.377308
22979,0.193111
25998,0.549643
162979,0.587129
5156,0.324858
11346,0.614245
6940,0.287297
96459,0.301051
10863,0.843963
3594,1.239523
51497,0.134788
9688,0.210279
5314,0.960466
7127,0.875165
83875,0.693723
60676,0.627575
9980,0.505309
6252,0.496983
5536,0.184287
10864,0.748439
4836,0.213509
54726,0.559447
6787,0.589239
116931,0.272506
55027,0.615607
90826,0.466555
56996,0.280929
126820,0.608688
1795,0.224106
79677,0.447971
6185,0.41558
51433,0.303369
8131,0.289644
933,0.909962
92949,0.418021
80183,1.11466
55342,0.174998
22801,0.394266
10533,0.294079
57610,0.224887
1294,0.629246
55362,0.20583
81788,0.432977
133060,0.493266
10152,0.160913
128611,1.152414
57089,0.300659
164,0.020139
9646,0.135896
56886,0.368977
9675,0.633512
140467,0.360322
113263,0.38503
84838,0.587091
3566,1.321694
1594,0.527313
200150,0.309306
9753,1.058256
85451,0.274931
79674,0.641512
22871,0.132908
10521,0.103
2555,0.1623
339965,0.548184
339768,0.650596
10117,2.022954
114881,0.287957
